Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",97.750000,-126.500000,0.000000,top
"J2","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",97.750000,-135.500000,0.000000,top
"J3","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",97.750000,-144.500000,0.000000,top
"J4","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",99.000000,-154.000000,0.000000,top
"J5","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",123.750000,-119.500000,0.000000,top
"J6","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",124.250000,-129.500000,0.000000,top
"J7","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",124.250000,-138.500000,0.000000,top
"J8","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",124.250000,-147.500000,0.000000,top
"J9","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",135.250000,-126.500000,0.000000,top
"J10","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",135.250000,-135.500000,0.000000,top
"J11","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",135.250000,-144.500000,0.000000,top
"J12","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",136.500000,-154.000000,0.000000,top
"J13","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",161.250000,-119.500000,0.000000,top
"J14","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",161.750000,-129.500000,0.000000,top
"J15","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",161.750000,-138.500000,0.000000,top
"J16","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",161.750000,-147.000000,0.000000,top
"J17","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",172.750000,-126.500000,0.000000,top
"J18","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",172.750000,-135.500000,0.000000,top
"J19","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",172.750000,-144.500000,0.000000,top
"J20","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",174.000000,-154.000000,0.000000,top
"J21","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",198.500000,-119.500000,0.000000,top
"J22","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",199.500000,-129.500000,0.000000,top
"J23","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",199.500000,-138.500000,0.000000,top
"J24","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",199.500000,-147.500000,0.000000,top
"J25","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",99.025000,-112.000000,-90.000000,top
"J26","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",124.700000,-112.000000,-90.000000,top
"J27","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",136.525000,-112.000000,-90.000000,top
"J28","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",162.250000,-112.000000,-90.000000,top
"J29","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",174.000000,-112.000000,-90.000000,top
"J30","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Horizontal",199.825000,-111.950000,-90.000000,top
